rank,team_name,team_url,rating,timestamp,btag
361, [ENMU] Eastern Greyhounds,https://compete.tespa.org/tournament/145/team/137214,1063,2019-11-03 12:36:52.841963,"Drift#12637,Lucksmith#11627,titowwarrior#1232,Bluiie#1599,SneezyDwarf#1124196,ThGingerSnap#1799,Heart#12528,LiquidGarnet#1882,bAnanaS#11183,DCtonic#1323,Joraf#11401,Icedragon29#1404"
361, [AC] AC ‘Roos,https://compete.tespa.org/tournament/145/team/137059,1063,2019-11-03 12:36:52.841547,"ShinyUmbreon#11379,Subspace#11655,THICC#11136,Mars#23459,ashes#12770,HotdogMcGoo#1183,Platty#11286,Mexicanator#11940,Kireth#11354,Sharkeisha08#1351,SneakymouS78#1772,CountChocula#11505"
359, [KSU] KSU Purple,https://compete.tespa.org/tournament/145/team/137285,1065,2019-11-03 12:36:52.840693,"Jbomb57#1429,BeerGut#11329,Zumalt#1612,twox2man#1470,KingRZ#1854,M4ck4mbush45#1480,COLDPEPPRONI#1296,undo15#1393"
360, [WPI] WPI Overwatch Grey,https://compete.tespa.org/tournament/145/team/138148,1064,2019-11-03 12:36:52.841129,"PULGASARI#11407,Mistake#11790,SlimySerpent#11239,Rythis#11699,JohnnyProton#11733,kijamu#11879,Enforcer#12698,Ticklethighs#1252"
355, [ISU] RES White,https://compete.tespa.org/tournament/145/team/138118,1072,2019-11-03 12:36:52.838989,"PtsdStanky#1180,Jonesie#1293,Evo#12279,ShiftyTwo#1974,LOLZ755#1984,KaaLZooR#1717,Muffin#11561,Mango#12341"
355, [CSU] Cougars,https://compete.tespa.org/tournament/145/team/138184,1072,2019-11-03 12:36:52.839411,"Drew#13864,CrazyWolfman#1171,Maze#11991,Shade#13212,idwpercy#1994,Tenkai#1177,G1it3h#1495,DavidSmith#11664,MrReBot#1398,Patrick#15185"
353, [FSU] Ferris Gold,https://compete.tespa.org/tournament/145/team/137534,1075,2019-11-03 12:36:52.838136,"TongueFu#11662,XaraBleu#1411,Imaginary#11379,NM3#1742,BlazeUnicycl#1146,Havoc#13208"
357, [UCC] Union Owls JV,https://compete.tespa.org/tournament/145/team/137330,1071,2019-11-03 12:36:52.839835,"ǞislingGrá#1829,Calixx#1355,junito2k#1279,Lizard#12413,EatyoLegumes#1331,StripedBlyat#1578,WaterRaccoon#11783,KiraShakira#1821,ImMightyFine#1329,EpicMan#1454"
358, [UBCO] UBCO Esports,https://compete.tespa.org/tournament/145/team/138531,1070,2019-11-03 12:36:52.840262,"LambSauce#11731,NeoPaulitan#1481,Skyrossm#1736,RoboEagle#11196,CostRodrock#11906,Silver#13153,wasmiester#1523,Zecr#1218,LazyTitan#118101,ganthia108#1450,tUrbo#11852,ithurtsman#1552"
354, [GMU] GMU Patriots C,https://compete.tespa.org/tournament/145/team/138240,1074,2019-11-03 12:36:52.838564,"Spooko#11104,ZapPat#1207,MooneRyder#1135,espurr#11682,Austine#11927,KobraKid#11196,Gl1tch3d0ut#1968,Ale#12186,Eunix#11787"
351, [BCM] Berklee Overdrive,https://compete.tespa.org/tournament/145/team/136450,1076,2019-11-03 12:36:52.837309,"oidoldol#1538,Weeaboo2018#4989,Serafin#31543,HunnieBun#11351,VexVirtuoso#1105,Makimo#4166,Sonymm#1136,Loveless#11389,Reedsmith#1926,SIVORC#1549,Kraetor#1577,Kaysen#11904"
349, [EC] Streaming Eagles,https://compete.tespa.org/tournament/145/team/138101,1077,2019-11-03 12:36:52.836880,"Jabbermaner#1276,EdgeAlpha#1232,ebloomy#1324,KARLtheValk#2249,TheLoneAnt#1117,OffclKrispy#1803,KOD3K#1721,MiHoyMinoy#1940"
348, [IIT] Sword,https://compete.tespa.org/tournament/145/team/138509,1079,2019-11-03 12:36:52.836037,"Allylove133#1394,WolfHatGamer#1204,BadMemes#1264,rilz#11376,Yoshi#13532,WJCB#1207"
351, [GT] GT C Team,https://compete.tespa.org/tournament/145/team/137547,1076,2019-11-03 12:36:52.837724,"Pentatonic#11943,Jibril#11453,monger#11845,RoKu#11220,iPhish#11832,FatalBlaze#11216"
344, [LMU] Crimson Mane OW JV,https://compete.tespa.org/tournament/145/team/138227,1082,2019-11-03 12:36:52.835217,"Zeikoth#1487,Cary#11650,Fate#1310,Davediddily#1266,TheSlumpGod#1988,catslayer#12446,ExoDeus#11483,Lanius#1441,natedog2dot#1364,JATawesome#1299"
349, [BYU] Saturday's Warriors,https://compete.tespa.org/tournament/145/team/136957,1077,2019-11-03 12:36:52.836448,"ScrubbyDucky#11754,Wolf#19802,MasterMahan#11468,LemonSquash#11957,KneeAwn#1271,Aelern#1593,klinc9#1583,Kirbyking#1937"
344, [App] App State Black,https://compete.tespa.org/tournament/145/team/136407,1082,2019-11-03 12:36:52.834367,"Tavan#11838,Carroty#11737,Seán#11448,Beliztik#1580,Chef#11432,Dave#15652,Cavalier#11844,SaltySpitoon#11836"
344, [SIT] Babbio Brawlers,https://compete.tespa.org/tournament/145/team/138160,1082,2019-11-03 12:36:52.834799,"pufflegod#1151,DoubleA#1795,Triceratops#11545,Rabious#11448,Evadion#1918,Cordi#11170,PlantFanatic#1352"
343, [SHU] SHU Saints,https://compete.tespa.org/tournament/145/team/137070,1083,2019-11-03 12:36:52.833924,"SHUxWeylin97#1893,Hwat#11121,SHUPeach#1740,shruja#1162,Thirty2#11929,LexusX#11114,EpicDEAD#1873,Samuel#11782,Sk1091#1372,RageQuitArmy#1864"
344, [SBU] SB Esports B Team,https://compete.tespa.org/tournament/145/team/138900,1082,2019-11-03 12:36:52.835626,"Wongsky#1129,Crazyrust#1246,Air#11980,kubbi#11186,Kevin#110584,mistiquest#1103,KernelPanic#1997"
341, [WITCC] HelloWorld.exe,https://compete.tespa.org/tournament/145/team/136850,1084,2019-11-03 12:36:52.833078,"Kryptonian#11805,TheSheathe#1710,dekuseeds123#1100,lonewolf117#1275,Gr33nMyst#1961,Stokenheimer#1753,Elynt#1336,OppaiTag#1462,DoctorDeath#11635"
339, [LU] LU Red,https://compete.tespa.org/tournament/145/team/138171,1086,2019-11-03 12:36:52.832635,"Blink2O2#1264,Fractal#11984,ebestrob#1193,Ballistica#11558,Pig4Prez#1882,MILK#13197,sonofpaint#1825,Breach#11360,Grinch#11672,Judes#1745,DJGaming1234#1298"
341, [UMN] Spaghetti Sailors,https://compete.tespa.org/tournament/145/team/138142,1084,2019-11-03 12:36:52.833510,"hyperbola0#1499,Maple#12434,Dapple#11775,Nommables#1860,Kasai#11878,ChubbyNinja#1294,Edebus#1667"
337, [RMC] R-MC Black,https://compete.tespa.org/tournament/145/team/137272,1087,2019-11-03 12:36:52.831783,"AngryScreech#1855,cybereskimo#1139,jellodash#1143,iiPhantomii#11281,Creonto#1151,CarpeDiem#12386"
335, [BC] Becker Talons,https://compete.tespa.org/tournament/145/team/138518,1088,2019-11-03 12:36:52.830929,"Arikanzi#1486,Siberdoodle#1243,Nope#11379,Nape#11436,AlphaWolf464#1255,UncivilWord#1257,Kamba#11902,LucaLight#1380"
337, [IIT] Scarlet Hawks B Team,https://compete.tespa.org/tournament/145/team/137042,1087,2019-11-03 12:36:52.831367,"Gilimed#1970,cder3#1711,Haven#12704,McFly#11138,LYNDONisHERE#1769,NA1SU#1157,Staple#11890,ModernLegacy#1769,CreativeMBW#1902,Soldier1600#1546,tekkitkiller#1954,SpiceMeUp#1878"
339, [CSULA] CSULA-Golden Eagles,https://compete.tespa.org/tournament/145/team/136421,1086,2019-11-03 12:36:52.832210,"Gamermel7#1385,mooseAvenged#1579,Fenrir#12936,Argonianmaid#1350,Grand#1586,BearsBeetsBG#11596,CamArin#11714,Mothman#11227,Zero#116855,bootypoppin#11542"
335, [BUS] White Team,https://compete.tespa.org/tournament/145/team/138248,1088,2019-11-03 12:36:52.830504,"PRBLM#11527,Nahush#1641,ZerynAstra#1403,Depression#11364,stanloona#1742,PineapplSoda#1365"
333, [BUS] Blue Team,https://compete.tespa.org/tournament/145/team/138238,1090,2019-11-03 12:36:52.830081,"engo#11444,GuessOW#1725,Nitrospeedy#1208,Melvon#1366,flobbert#1907,XanthBink#1778,SilentStorm#179569"
333, [ARK] UARK ,https://compete.tespa.org/tournament/145/team/136532,1090,2019-11-03 12:36:52.829657,"Dakarta#1563,Cheoji#1170,Air#11337,Tammo#11479,Ewigkeit#11570,YouCanYouUp#11938,GeekaBoo#11751,Darkness#16286,Bemkaree#1154"
